producto,nutriscore,nova,perfil_aditivos,ns_num,cluster_final
Sidi Ali,a,1,0,1,1
Perly,a,3,0,1,0
Eau minérale naturelle,a,1,0,1,1
Sidi Ali,a,1,0,1,1
Lait,b,3,0,2,0
Jben,d,4,0,4,3
isabelle,a,1,0,1,1
Prince Goût Chocolat au blé complet,e,4,0,5,3
uht jaouda 1L,b,1,0,2,1
Ain Saïss,a,1,0,1,1
اكوافينا,a,1,0,1,1
,a,1,0,1,1
6111035000027,a,1,0,1,1
Pain De Mie Bio,c,4,0,3,0
Cream cheese,a,3,0,1,0
Eau minéral naturelle,a,1,0,1,1
Edelbitter-Schokolade,d,3,0,4,3
Cocacola original  500,e,4,3,5,2
Desconocido,b,1,0,2,1
Skyr nature 0%,a,1,0,1,1
Yaourt nature,b,3,0,2,0
اكوافينا,b,1,0,2,1
Pain de mie grandes tranches Seigle & Graines 500g,a,4,0,1,0
cruesly mélange de noix,b,4,0,2,0
Tartines craquantes au sarrasin imp,a,3,0,1,0
Sésame,c,4,0,3,0
Excellence 70% cacao noir intense,e,3,0,5,3
Nutella,e,4,0,5,3
Excellence 85% cacao,e,3,0,5,3
Pur beurre de cacahuète,b,1,0,2,1
Cheddar,d,4,0,4,3
Rigoni di Asiago - Nocciolata bio,e,4,0,5,3
Nutella,e,4,0,5,3
Oulmes natural carbonated water,a,1,0,1,1
Tonik,e,3,0,5,3
Fourrés Chocolat Noir,d,4,0,4,3
Pain de mie american sandwich complet sans sucres ajoutés 600g,b,4,0,2,0
KRISPROLLS Complets,a,4,0,1,0
Brioche Tranchée Bio 400g,c,4,0,3,0
Cappy PULPY,e,4,3,5,2
Geröstete Mandel Ohne Zucker,b,4,0,2,0
Alvalle Gazpacho l'original,a,3,0,1,0
14 Maxi Tranches complet sans sucres ajoutés,a,4,0,1,0
Goldium crémeux,d,4,0,4,3
Ciel 33cl,a,1,0,1,1
Pain de mie Bio grandes tranches céréales & graines 500g,c,4,0,3,0
AUTHENTIQUE,a,3,0,1,0
Ain Atlas,a,1,0,1,1
Fibres,a,3,0,1,0
Nocciolata,e,4,0,5,3
Le Lait demi écrémé,b,1,0,2,1
Menguy's Peanut 100%,a,1,0,1,1
,a,1,0,1,1
Croustillant Chocolat,c,4,0,3,0
PESTO alla GENOVESE,e,4,0,5,3
Frommage fondu,d,3,0,4,3
Pomme Noisette,b,4,0,2,0
Margarine bio doux tartine & cuisson,c,4,0,3,0
Ciel,b,1,0,2,1
jaouda Cremy,a,4,0,1,0
Figue & son,b,4,0,2,0
Tartine Doux,c,4,0,3,0
Assil vanille,c,1,0,3,1
Ain Saiss Eau Minerale Naturelle,a,1,0,1,1
Jebli,d,4,0,4,3
