nombre_limpio,total_docs,riesgo_cronico,riesgo_agudo,microbiota,beneficio,evidencia_humana
Dicalcium citrate,51,0,4,0,8,8
Butylated hydroxytoluene,3926,1044,206,9,3599,571
Magnesium citrate,571,79,29,3,95,321
Potassium ascorbate,12,4,0,0,10,2
lipase,55491,5072,3105,844,8191,12518
Potassium carbonates,19,0,0,0,3,0
Propylene glycol,7520,582,699,64,2137,1687
Aluminium ammonium sulphate,4,0,0,0,0,0
sodium alginate,9686,761,647,139,2495,1440
Alkannin,167,51,42,1,92,34
Citrus Red 2,7,2,3,0,0,3
Monoammonium glutamate,3,1,0,0,0,2
Starch aluminium octenyl succinate,2,1,0,1,0,0
Ammonium phosphate,1359,53,17,10,195,245
Lysozyme,31612,3584,2543,779,5049,5323
Calcium hydrogen carbonate,12,0,0,0,0,6
Erythritol,2947,113,91,90,590,436
Calcium aluminium silicate,5,0,0,0,0,0
Erythorbin acid,3740708,537025,216818,60926,697078,847784
Green s,9089,1022,291,184,499,2133
Acetylated distarch adipate,10,2,0,1,1,2
Nitrogen oxide,2091,301,200,16,809,466
Violaxanthin,1235,26,16,2,691,54
Calcium guanylate,2618,228,67,2,1009,373
Maltol,655,75,58,8,166,139
Potassium nitrite,65,12,0,0,22,13
Sorbitan tristearate,20,2,1,0,2,1
Sodium benzoate,1816,156,168,25,479,387
Potassium phosphates,40,3,0,0,12,7
Red iron oxide,28,2,2,1,5,5
Sodium pectate,15,1,0,0,1,1
Chlorophylls and Chlorophyllins,571,231,33,7,484,132
Alkaline modified starch,832,41,10,5,160,66
Calcium iodate,14,0,0,0,2,4
Sodium acetate,4827,350,141,110,644,698
Sorbitan monopalmitate,54,4,3,0,11,11
calcium peroxide,528,121,28,14,139,99
Calcium bisulphite,233,104,10,1,38,99
Calcium hydroxide,7412,263,615,37,1057,2712
Soybean hemicellulose,2,1,0,0,0,1
Magnesium Gluconate,42,1,0,0,4,13
Phosphoric acid,11263,393,181,26,1454,2624
Beetroot red,10,1,0,0,5,2
flavin mononucleotide,4347,252,59,23,567,453
Oxygen,886680,130154,68181,6400,222399,242104
Quillaia extract,9,4,0,0,0,1
Dipotassium tartrate,7,1,0,0,0,2
carotene,22545,4738,1110,144,16214,8151
Tocopherol-rich extract,7,1,1,0,6,1
Gardenia Blue,30,6,1,0,5,3
Potassium malate,13,0,0,0,2,0
Sodium fumarate,31,2,1,2,3,6
Brilliant black bn,14,2,0,1,2,4
Rubixanthin,20,1,0,0,18,1
Sodiumglycinate,1,0,0,0,0,0
Magnesium silicates,691,53,18,7,151,93
Alpha-Amylase,17358,1010,1141,349,5291,3990
Hydrogenated poly-1-decene,4,1,0,0,0,1
Calcium stearoyl-2-lactylate,5,0,0,0,0,1
Sulphite ammonia caramel,11,5,1,1,1,3
Carotenoids,35402,4891,1968,352,29273,8039
Magnesium hydroxide carbonate,814,14,15,4,118,227
Calcium inosinate,596,44,17,2,122,72
Ammonium acetate,6221,516,112,12,722,1328
Polyoxyethylene sorbitan monopalmitate,6,1,1,0,1,3
Lanolin,786,37,219,2,146,217
Polyvinylpyrrolidone-vinyl acetate copolymer,28,2,2,0,8,3
Desconocido,281,130,22,0,7,83
synthetic magnesium silicates,112,35,4,0,18,22
Ferrous lactate,41,0,3,1,11,17
Sodium stearoyl fumarate,1,0,0,0,0,1
sodium thiosulfate,2247,482,194,13,1346,557
Pectin,14358,862,693,737,3426,1657
Bleached starch,97,1,0,1,20,2
Ammonium phosphatides,7,0,0,1,2,0
Peonidin,849,85,62,14,379,175
Bone phosphate,25,1,0,0,1,5
Paprika extract,24,3,1,2,12,6
Sodium adipate,2,0,0,0,0,0
Ammonium sulphate,3156,204,102,9,271,357
Tara gum,89,4,2,4,23,15
Anoxomer,2,0,0,0,2,0
Sodium ascorbate,1181,247,38,3,801,303
Disodium citrate,17,0,0,0,2,5
Riboflavin,17007,1399,596,272,2898,4809
Amaranth,2114,124,98,37,444,308
Glycerol esters of wood rosin,3,0,0,0,0,0
Mannitol,26784,2547,1514,1695,6398,6145
Ammonium carbonates,14910,532,111,360,2008,1152
Aluminium sodium sulphate,1,0,0,0,0,0
Ammonium alginate,13,0,0,0,0,0
Ammonium polyphosphate,333,1,0,1,67,1
Thaumatin,907,31,109,15,90,89
Monopotassium citrate,18,0,0,0,4,4
Polyglycitol syrup,1,0,0,0,0,0
Acetylated distarch glycerol,0,0,0,0,0,0
