id_original,nombre_referencia,total_docs,toxicidad_genetica,carcinogenesis,disrupcion_endocrina,toxicidad_metabolica,microbiota_gut_health,barrera_hematoencefalica,inmunotoxicidad_alergia,inflamacion_cronica,potencial_bioactivo,evidencia_clinica_humana,estudios_mecanisticos
0,Dicalcium citrate,51,0,1,0,0,0,0,1,0,2,1,17
1,Butylated hydroxytoluene,4614,322,928,137,28,10,33,61,84,3783,139,1108
2,Magnesium citrate,1424,6,121,25,34,4,7,4,15,128,375,139
3,Potassium ascorbate,464,2,79,22,12,1,2,11,9,28,110,37
4,lipase,177948,7249,14260,12562,7757,921,2158,1487,5681,20491,7191,47164
5,Potassium carbonates,6696,55,264,203,81,21,29,40,50,618,433,1131
6,Propylene glycol,9104,200,449,206,60,87,70,266,177,1321,516,2363
7,Aluminium ammonium sulphate,241,3,38,14,6,2,2,4,8,6,61,22
8,sodium alginate,10030,58,439,237,56,108,30,28,228,1458,223,2916
9,Alkannin,1953,37,263,63,52,3,16,17,71,396,234,364
10,Citrus Red 2,1083,8,154,43,17,1,7,21,22,31,183,66
11,Monoammonium glutamate,167,2,20,8,10,0,4,1,2,5,46,18
12,Starch aluminium octenyl succinate,47,2,8,3,1,0,1,0,1,1,12,4
13,Ammonium phosphate,1720,13,105,28,12,3,3,4,9,114,142,163
14,Lysozyme,31688,312,2353,964,124,599,96,748,1833,3028,793,8656
15,Calcium hydrogen carbonate,12,0,0,0,0,0,0,0,0,0,0,0
16,Erythritol,3096,25,72,66,66,64,7,29,29,255,179,869
17,Calcium aluminium silicate,185,1,30,5,5,1,1,1,6,6,52,18
18,Erythorbin acid,3741187,81552,356972,240555,89500,45132,58528,39509,124644,425529,223093,1192488
19,Green s,9867,133,843,304,110,93,83,92,152,224,1348,806
20,Acetylated distarch adipate,64,1,8,4,3,0,5,0,0,2,9,9
21,Nitrogen oxide,2180,61,200,66,31,7,33,55,114,659,181,328
22,Violaxanthin,1235,11,11,6,4,3,1,3,2,583,3,351
23,Calcium guanylate,2822,13,229,445,23,2,138,19,45,773,87,1694
24,Maltol,3741356,81566,356948,240556,89493,45137,58553,39507,124667,425585,223049,1192574
25,Potassium nitrite,678,20,94,24,14,1,7,10,12,79,124,88
26,Sorbitan tristearate,58749,2168,17155,7204,1775,529,1779,1402,21918,18183,873,51821
27,Sodium benzoate,2465,87,192,51,45,14,85,78,49,392,286,338
28,Potassium phosphates,417,1,60,20,10,2,3,3,5,9,98,50
29,Red iron oxide,28,0,1,0,0,0,0,1,1,0,2,3
30,Sodium pectate,15,1,0,0,0,0,0,0,0,0,0,2
31,Chlorophylls and Chlorophyllins,1386,157,276,46,31,5,6,30,45,137,191,221
32,Alkaline modified starch,894,10,25,5,8,4,4,3,6,89,29,133
33,Calcium iodate,116,1,13,5,8,0,1,2,4,5,30,17
34,Sodium acetate,4830,51,187,143,62,69,31,23,91,362,167,857
35,Sorbitan monopalmitate,11773976,181476,1618519,681771,275646,40274,171246,158926,362417,613438,2458420,1881099
36,calcium peroxide,626,7,95,21,6,2,3,1,9,80,40,155
37,Calcium bisulphite,824,18,163,57,22,3,12,8,18,41,137,182
38,Calcium hydroxide,7623,56,185,25,4,2,13,39,103,548,1141,1326
39,Soybean hemicellulose,254,1,43,8,8,0,3,5,5,7,62,19
40,Magnesium Gluconate,248,2,28,5,0,1,3,4,2,6,72,24
41,Phosphoric acid,12387,89,331,119,28,17,28,81,40,624,664,1720
42,Beetroot red,706,7,98,33,20,0,5,11,10,29,132,59
43,flavin mononucleotide,5485,81,298,161,35,17,45,22,43,417,344,1271
44,Oxygen,888696,32717,80726,31069,19262,3395,16907,8272,46367,170644,80146,242625
45,Quillaia extract,104,2,12,6,5,0,1,1,5,1,31,12
46,Dipotassium tartrate,7,0,0,0,0,0,0,0,0,0,2,0
47,carotene,22592,747,3215,690,651,104,116,161,624,15477,3751,4593
48,Tocopherol-rich extract,393,6,66,19,12,0,4,5,6,16,94,35
49,Gardenia Blue,810,6,125,33,16,4,8,11,16,21,152,40
50,Potassium malate,365,1,69,14,12,0,5,6,7,10,91,21
51,Sodium fumarate,1245,11,111,27,11,6,8,9,26,103,120,240
52,Brilliant black bn,13966,194,1042,552,1144,243,126,277,395,1888,2731,1510
