id_original,nombre_referencia,total_docs,toxicidad_genetica,carcinogenesis,disrupcion_endocrina,toxicidad_metabolica,microbiota_gut_health,barrera_hematoencefalica,inmunotoxicidad_alergia,inflamacion_cronica,potencial_bioactivo,evidencia_clinica_humana,estudios_mecanisticos
0,Dicalcium citrate,2,0,0,0,0,0,0,0,0,0,0,0
1,Butylated hydroxytoluene,0,0,0,0,0,0,0,0,0,0,0,0
2,Magnesium citrate,2,0,0,0,0,0,0,0,0,0,0,0
3,Potassium ascorbate,2,0,0,0,0,0,0,0,0,0,0,0
4,lipase,0,0,0,0,0,0,0,0,0,0,0,0
5,Potassium carbonates,2,0,0,0,0,0,0,0,0,0,0,0
6,Propylene glycol,0,0,0,0,0,0,0,0,0,0,0,0
7,Aluminium ammonium sulphate,2,0,0,0,0,0,0,0,0,0,0,0
8,sodium alginate,2,0,0,0,0,0,0,0,0,0,0,0
9,Alkannin,2,0,0,0,0,0,0,0,0,0,0,0
10,Citrus Red 2,2,0,0,0,0,0,0,0,0,0,0,0
11,Monoammonium glutamate,2,0,0,0,0,0,0,0,0,0,0,0
12,Starch aluminium octenyl succinate,2,0,0,0,0,0,0,0,0,0,0,0
13,Ammonium phosphate,2,0,0,0,0,0,0,0,0,0,0,0
14,Lysozyme,2,0,0,0,0,0,0,0,0,0,0,0
15,Calcium hydrogen carbonate,2,0,0,0,0,0,0,0,0,0,0,0
16,Erythritol,2,0,0,0,0,0,0,0,0,0,0,0
17,Calcium aluminium silicate,2,0,0,0,0,0,0,0,0,0,0,0
18,Erythorbin acid,2,0,0,0,0,0,0,0,0,0,0,0
19,Green s,2,0,0,0,0,0,0,0,0,0,0,0
20,Acetylated distarch adipate,2,0,0,0,0,0,0,0,0,0,0,0
21,Nitrogen oxide,2,0,0,0,0,0,0,0,0,0,0,0
22,Violaxanthin,2,0,0,0,0,0,0,0,0,0,0,0
23,Calcium guanylate,2,0,0,0,0,0,0,0,0,0,0,0
24,Maltol,2,0,0,0,0,0,0,0,0,0,0,0
25,Potassium nitrite,0,0,0,0,0,0,0,0,0,0,0,0
26,Sorbitan tristearate,0,0,0,0,0,0,0,0,0,0,0,0
27,Sodium benzoate,0,0,0,0,0,0,0,0,0,0,0,0
28,Potassium phosphates,2,0,0,0,0,0,0,0,0,0,0,0
29,Red iron oxide,2,0,0,0,0,0,0,0,0,0,0,0
30,Sodium pectate,2,0,0,0,0,0,0,0,0,0,0,0
31,Chlorophylls and Chlorophyllins,2,0,0,0,0,0,0,0,0,0,0,0
32,Alkaline modified starch,2,0,0,0,0,0,0,0,0,0,0,0
33,Calcium iodate,2,0,0,0,0,0,0,0,0,0,0,0
34,Sodium acetate,2,0,0,0,0,0,0,0,0,0,0,0
35,Sorbitan monopalmitate,0,0,0,0,0,0,0,0,0,0,0,0
36,calcium peroxide,2,0,0,0,0,0,0,0,0,0,0,0
37,Calcium bisulphite,2,0,0,0,0,0,0,0,0,0,0,0
38,Calcium hydroxide,2,0,0,0,0,0,0,0,0,0,0,0
39,Soybean hemicellulose,2,0,0,0,0,0,0,0,0,0,0,0
40,Magnesium Gluconate,2,0,0,0,0,0,0,0,0,0,0,0
41,Phosphoric acid,2,0,0,0,0,0,0,0,0,0,0,0
42,Beetroot red,2,0,0,0,0,0,0,0,0,0,0,0
43,flavin mononucleotide,2,0,0,0,0,0,0,0,0,0,0,0
44,Oxygen,0,0,0,0,0,0,0,0,0,0,0,0
45,Quillaia extract,2,0,0,0,0,0,0,0,0,0,0,0
46,Dipotassium tartrate,2,0,0,0,0,0,0,0,0,0,0,0
47,carotene,0,0,0,0,0,0,0,0,0,0,0,0
48,Tocopherol-rich extract,2,0,0,0,0,0,0,0,0,0,0,0
49,Gardenia Blue,2,0,0,0,0,0,0,0,0,0,0,0
50,Potassium malate,2,0,0,0,0,0,0,0,0,0,0,0
51,Sodium fumarate,0,0,0,0,0,0,0,0,0,0,0,0
52,Brilliant black bn,2,0,0,0,0,0,0,0,0,0,0,0
53,Rubixanthin,0,0,0,0,0,0,0,0,0,0,0,0
54,Sodiumglycinate,2,0,0,0,0,0,0,0,0,0,0,0
55,Magnesium silicates,2,0,0,0,0,0,0,0,0,0,0,0
56,Alpha-Amylase,2,0,0,0,0,0,0,0,0,0,0,0
57,Hydrogenated poly-1-decene,2,0,0,0,0,0,0,0,0,0,0,0
58,Calcium stearoyl-2-lactylate,2,0,0,0,0,0,0,0,0,0,0,0
59,Sulphite ammonia caramel,2,0,0,0,0,0,0,0,0,0,0,0
60,Carotenoids,2,0,0,0,0,0,0,0,0,0,0,0
61,Magnesium hydroxide carbonate,2,0,0,0,0,0,0,0,0,0,0,0
62,Calcium inosinate,2,0,0,0,0,0,0,0,0,0,0,0
63,Ammonium acetate,0,0,0,0,0,0,0,0,0,0,0,0
64,Polyoxyethylene sorbitan monopalmitate,2,0,0,0,0,0,0,0,0,0,0,0
65,Lanolin,0,0,0,0,0,0,0,0,0,0,0,0
66,Polyvinylpyrrolidone-vinyl acetate copolymer,0,0,0,0,0,0,0,0,0,0,0,0
67,Desconocido,2,0,0,0,0,0,0,0,0,0,0,0
68,synthetic magnesium silicates,2,0,0,0,0,0,0,0,0,0,0,0
69,Ferrous lactate,2,0,0,0,0,0,0,0,0,0,0,0
70,Sodium stearoyl fumarate,2,0,0,0,0,0,0,0,0,0,0,0
71,sodium thiosulfate,0,0,0,0,0,0,0,0,0,0,0,0
72,Pectin,2,0,0,0,0,0,0,0,0,0,0,0
73,Bleached starch,0,0,0,0,0,0,0,0,0,0,0,0
74,Ammonium phosphatides,2,0,0,0,0,0,0,0,0,0,0,0
75,Peonidin,2,0,0,0,0,0,0,0,0,0,0,0
76,Bone phosphate,2,0,0,0,0,0,0,0,0,0,0,0
77,Paprika extract,2,0,0,0,0,0,0,0,0,0,0,0
78,Sodium adipate,0,0,0,0,0,0,0,0,0,0,0,0
79,Ammonium sulphate,2,0,0,0,0,0,0,0,0,0,0,0
80,Tara gum,2,0,0,0,0,0,0,0,0,0,0,0
81,Anoxomer,2,0,0,0,0,0,0,0,0,0,0,0
82,Sodium ascorbate,2,0,0,0,0,0,0,0,0,0,0,0
83,Disodium citrate,2,0,0,0,0,0,0,0,0,0,0,0
84,Riboflavin,2,0,0,0,0,0,0,0,0,0,0,0
85,Amaranth,2,0,0,0,0,0,0,0,0,0,0,0
86,Glycerol esters of wood rosin,2,0,0,0,0,0,0,0,0,0,0,0
87,Mannitol,2,0,0,0,0,0,0,0,0,0,0,0
88,Ammonium carbonates,2,0,0,0,0,0,0,0,0,0,0,0
89,Aluminium sodium sulphate,2,0,0,0,0,0,0,0,0,0,0,0
90,Ammonium alginate,2,0,0,0,0,0,0,0,0,0,0,0
91,Ammonium polyphosphate,2,0,0,0,0,0,0,0,0,0,0,0
92,Thaumatin,2,0,0,0,0,0,0,0,0,0,0,0
93,Monopotassium citrate,2,0,0,0,0,0,0,0,0,0,0,0
94,Polyglycitol syrup,2,0,0,0,0,0,0,0,0,0,0,0
95,Acetylated distarch glycerol,0,0,0,0,0,0,0,0,0,0,0,0
96,Dicalcium diphosphate,2,0,0,0,0,0,0,0,0,0,0,0
97,Hydroxy propyl distarch glycerine,0,0,0,0,0,0,0,0,0,0,0,0
98,Pectins,2,0,0,0,0,0,0,0,0,0,0,0
99,Extracts of rosemary,2,0,0,0,0,0,0,0,0,0,0,0
100,E101a food additive,2,0,0,0,0,0,0,0,0,0,0,0
101,Advantame,2,0,0,0,0,0,0,0,0,0,0,0
102,Monosodium tartrate,2,0,0,0,0,0,0,0,0,0,0,0
103,Calcium benzoate,0,0,0,0,0,0,0,0,0,0,0,0
104,Dipotassium guanylate,2,0,0,0,0,0,0,0,0,0,0,0
105,Natamycin,0,0,0,0,0,0,0,0,0,0,0,0
106,Magnesium trisilicate,2,0,0,0,0,0,0,0,0,0,0,0
107,Ethyl methyl cellulose,2,0,0,0,0,0,0,0,0,0,0,0
108,Metatartaric acid,2,0,0,0,0,0,0,0,0,0,0,0
109,Silicon dioxide,2,0,0,0,0,0,0,0,0,0,0,0
110,Triphosphates,2,0,0,0,0,0,0,0,0,0,0,0
111,Pelargonidin,2,0,0,0,0,0,0,0,0,0,0,0
112,Vegetable carbon,2,0,0,0,0,0,0,0,0,0,0,0
113,Ponceau 6R,2,0,0,0,0,0,0,0,0,0,0,0
114,Litholrubine bk,0,0,0,0,0,0,0,0,0,0,0,0
115,Sodium orthophenyl phenol,0,0,0,0,0,0,0,0,0,0,0,0
116,Agar,2,0,0,0,0,0,0,0,0,0,0,0
117,Desconocido,2,0,0,0,0,0,0,0,0,0,0,0
118,Ethyl cellulose,2,0,0,0,0,0,0,0,0,0,0,0
119,Triammonium citrate,2,0,0,0,0,0,0,0,0,0,0,0
120,potassium lactate,0,0,0,0,0,0,0,0,0,0,0,0
121,Boric acid,2,0,0,0,0,0,0,0,0,0,0,0
122,Propane-1‚2-diol esters of fatty acids,2,0,0,0,0,0,0,0,0,0,0,0
123,Potassium gluconate,2,0,0,0,0,0,0,0,0,0,0,0
124,Calcium ferrocyanide,2,0,0,0,0,0,0,0,0,0,0,0
125,Azodicarbonamide,2,0,0,0,0,0,0,0,0,0,0,0
126,Potassium hydrogen sulphate,2,0,0,0,0,0,0,0,0,0,0,0
127,Sodium phosphates,0,0,0,0,0,0,0,0,0,0,0,0
128,Fatty acid methyl ester,2,0,0,0,0,0,0,0,0,0,0,0
129,D-Maltitol,2,0,0,0,0,0,0,0,0,0,0,0
130,Hydrogen,2,0,0,0,0,0,0,0,0,0,0,0
131,Calcium disodium ethylenediaminetetraacetate,2,0,0,0,0,0,0,0,0,0,0,0
132,Ascorbyl stearate,2,0,0,0,0,0,0,0,0,0,0,0
133,Orcein,2,0,0,0,0,0,0,0,0,0,0,0
134,Propyl para-hydroxybenzoate,2,0,0,0,0,0,0,0,0,0,0,0
135,L(+)-tartaric acid,0,0,0,0,0,0,0,0,0,0,0,0
136,Potassium silicate,2,0,0,0,0,0,0,0,0,0,0,0
137,Biphenyl,0,0,0,0,0,0,0,0,0,0,0,0
138,Azodicarbonamide and Carbamide,2,0,0,0,0,0,0,0,0,0,0,0
139,concentrated tocopherol,2,0,0,0,0,0,0,0,0,0,0,0
140,Cellulose,2,0,0,0,0,0,0,0,0,0,0,0
141,Rebaudioside from multiple gene donors expressed in Yarrowia lipolityca,2,0,0,0,0,0,0,0,0,0,0,0
142,Propane,2,0,0,0,0,0,0,0,0,0,0,0
143,Plant carotenes,2,0,0,0,0,0,0,0,0,0,0,0
144,Disodium inosinate,2,0,0,0,0,0,0,0,0,0,0,0
145,Mineral oil medium viscosity,2,0,0,0,0,0,0,0,0,0,0,0
146,Sodium propyl para-hydroxybenzoate,2,0,0,0,0,0,0,0,0,0,0,0
147,Chlorine dioxide,0,0,0,0,0,0,0,0,0,0,0,0
148,Dimethyl dicarbonate,0,0,0,0,0,0,0,0,0,0,0,0
149,Calcium hydrogen malate,2,0,0,0,0,0,0,0,0,0,0,0
150,Processed eucheuma seaweed,2,0,0,0,0,0,0,0,0,0,0,0
151,Acetylated distarch phosphate,0,0,0,0,0,0,0,0,0,0,0,0
152,Calcium sorbate,2,0,0,0,0,0,0,0,0,0,0,0
153,Sodium sulphite,2,0,0,0,0,0,0,0,0,0,0,0
154,Talc,2,0,0,0,0,0,0,0,0,0,0,0
155,Propylene Glycol,0,0,0,0,0,0,0,0,0,0,0,0
156,isomalt,0,0,0,0,0,0,0,0,0,0,0,0
157,Anionic methacrylate copolymer,0,0,0,0,0,0,0,0,0,0,0,0
158,Glutamic acid,0,0,0,0,0,0,0,0,0,0,0,0
159,Sorbitan monooleate,2,0,0,0,0,0,0,0,0,0,0,0
160,Erythrosine,0,0,0,0,0,0,0,0,0,0,0,0
161,Hydrochloric acid,2,0,0,0,0,0,0,0,0,0,0,0
162,Formaldehyde,2,0,0,0,0,0,0,0,0,0,0,0
163,Sodium hydrogen malate,2,0,0,0,0,0,0,0,0,0,0,0
164,Lecithin citrate,2,0,0,0,0,0,0,0,0,0,0,0
165,Carrageenan,2,0,0,0,0,0,0,0,0,0,0,0
166,calcium lactate,2,0,0,0,0,0,0,0,0,0,0,0
167,Leucine,0,0,0,0,0,0,0,0,0,0,0,0
168,Annatto,0,0,0,0,0,0,0,0,0,0,0,0
169,Magnesium diglutamate,2,0,0,0,0,0,0,0,0,0,0,0
170,Sodium gluconate,0,0,0,0,0,0,0,0,0,0,0,0
171,Basic methacrylate copolymer,0,0,0,0,0,0,0,0,0,0,0,0
172,Hydroxypropyl distarch phosphate,2,0,0,0,0,0,0,0,0,0,0,0
173,Polyglycerol polyricinoleate,2,0,0,0,0,0,0,0,0,0,0,0
174,Trisodium phosphate,2,0,0,0,0,0,0,0,0,0,0,0
175,Orange GGN,2,0,0,0,0,0,0,0,0,0,0,0
176,Spiramycin,2,0,0,0,0,0,0,0,0,0,0,0
177,Sulphuric acid,2,0,0,0,0,0,0,0,0,0,0,0
178,ammonium malate,2,0,0,0,0,0,0,0,0,0,0,0
179,Tragacanth,2,0,0,0,0,0,0,0,0,0,0,0
180,Pullulan,0,0,0,0,0,0,0,0,0,0,0,0
181,Monopotassium glutamate,2,0,0,0,0,0,0,0,0,0,0,0
182,Helium,2,0,0,0,0,0,0,0,0,0,0,0
183,Octyl gallate,0,0,0,0,0,0,0,0,0,0,0,0
184,Methyl glucoside-coconut oil ester,2,0,0,0,0,0,0,0,0,0,0,0
185,Sodium nitrate,2,0,0,0,0,0,0,0,0,0,0,0
186,Dicalcium phosphate,2,0,0,0,0,0,0,0,0,0,0,0
187,Neutral methacrylate copolymer,2,0,0,0,0,0,0,0,0,0,0,0
188,Mineral oil high viscosity,2,0,0,0,0,0,0,0,0,0,0,0
189,Zinc acetate,0,0,0,0,0,0,0,0,0,0,0,0
190,Sodium ferrocyanide,2,0,0,0,0,0,0,0,0,0,0,0
191,white and yellow beeswax,2,0,0,0,0,0,0,0,0,0,0,0
192,Oligoesters of sucrose type I,2,0,0,0,0,0,0,0,0,0,0,0
193,Dehydroacetic acid,0,0,0,0,0,0,0,0,0,0,0,0
194,Polyoxyethylene sorbitan monostearate,0,0,0,0,0,0,0,0,0,0,0,0
195,Copper complexes of chlorophyllins,2,0,0,0,0,0,0,0,0,0,0,0
196,ammonium persulfate,2,0,0,0,0,0,0,0,0,0,0,0
197,Partially hydrolyzed lecithin,2,0,0,0,0,0,0,0,0,0,0,0
198,Monopotassium phosphate,2,0,0,0,0,0,0,0,0,0,0,0
199,Alitame,2,0,0,0,0,0,0,0,0,0,0,0
200,Cross-linked sodium carboxymethylcellulose,2,0,0,0,0,0,0,0,0,0,0,0
201,Calcium formiate,0,0,0,0,0,0,0,0,0,0,0,0
202,Stearyl citrate,2,0,0,0,0,0,0,0,0,0,0,0
203,Monostarch phosphate,0,0,0,0,0,0,0,0,0,0,0,0
204,DL-Alpha-tocopherol,2,0,0,0,0,0,0,0,0,0,0,0
205,Chlorophylls,2,0,0,0,0,0,0,0,0,0,0,0
206,Enzymatically produced steviol glycosides,2,0,0,0,0,0,0,0,0,0,0,0
207,Sodium acetates,0,0,0,0,0,0,0,0,0,0,0,0
208,Polyoxyethylene sorbitan monolaurate,0,0,0,0,0,0,0,0,0,0,0,0
209,Polydextrose,2,0,0,0,0,0,0,0,0,0,0,0
210,Titanium dioxide,0,0,0,0,0,0,0,0,0,0,0,0
211,Sucrose esters of fatty acids,2,0,0,0,0,0,0,0,0,0,0,0
212,Aluminium stearate,2,0,0,0,0,0,0,0,0,0,0,0
213,Potassium carbonate,2,0,0,0,0,0,0,0,0,0,0,0
214,Alanin,2,0,0,0,0,0,0,0,0,0,0,0
215,Algal carotenes,2,0,0,0,0,0,0,0,0,0,0,0
216,ethyl acetate,2,0,0,0,0,0,0,0,0,0,0,0
217,saffron,2,0,0,0,0,0,0,0,0,0,0,0
218,Acetic acid,2,0,0,0,0,0,0,0,0,0,0,0
219,Polyoxyethylene (8) stearate,0,0,0,0,0,0,0,0,0,0,0,0
220,Calcium dihydrogen diphosphate,2,0,0,0,0,0,0,0,0,0,0,0
221,Magnesium oxide,2,0,0,0,0,0,0,0,0,0,0,0
222,Triethyl citrate,2,0,0,0,0,0,0,0,0,0,0,0
223,Thiodipropionic acid,0,0,0,0,0,0,0,0,0,0,0,0
224,Karaya-gum,2,0,0,0,0,0,0,0,0,0,0,0
225,Calcium sulphate,2,0,0,0,0,0,0,0,0,0,0,0
226,Sodium hydrogen carbonate,2,0,0,0,0,0,0,0,0,0,0,0
227,Potassium adipate,2,0,0,0,0,0,0,0,0,0,0,0
228,Carbon dioxide,2,0,0,0,0,0,0,0,0,0,0,0
229,Sodium sorbate,2,0,0,0,0,0,0,0,0,0,0,0
230,Microcrystalline wax,2,0,0,0,0,0,0,0,0,0,0,0
231,Monosodium phosphate,2,0,0,0,0,0,0,0,0,0,0,0
232,maltitol,2,0,0,0,0,0,0,0,0,0,0,0
233,Sodium metabisulphite,2,0,0,0,0,0,0,0,0,0,0,0
234,Acetylated oxidised starch,0,0,0,0,0,0,0,0,0,0,0,0
235,Aspartame,2,0,0,0,0,0,0,0,0,0,0,0
236,Salt of aspartame-acesulfame,2,0,0,0,0,0,0,0,0,0,0,0
237,Hydroxy propyl distarch glycerol,0,0,0,0,0,0,0,0,0,0,0,0
238,Benzoin resin,2,0,0,0,0,0,0,0,0,0,0,0
239,Microcrystalline cellulose,2,0,0,0,0,0,0,0,0,0,0,0
240,Calcium lactobionate,2,0,0,0,0,0,0,0,0,0,0,0
241,D-Alpha-tocopherol,2,0,0,0,0,0,0,0,0,0,0,0
242,Steviol glycosides from Stevia,2,0,0,0,0,0,0,0,0,0,0,0
243,Annatto norbixin,2,0,0,0,0,0,0,0,0,0,0,0
244,Argon,0,0,0,0,0,0,0,0,0,0,0,0
245,Desconocido,2,0,0,0,0,0,0,0,0,0,0,0
246,Acetylated starch,0,0,0,0,0,0,0,0,0,0,0,0
247,Potassium polyphosphate,2,0,0,0,0,0,0,0,0,0,0,0
248,Magnesium chloride,2,0,0,0,0,0,0,0,0,0,0,0
249,E411 food additive,2,0,0,0,0,0,0,0,0,0,0,0
250,Ammonium Pectate,2,0,0,0,0,0,0,0,0,0,0,0
251,Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,2,0,0,0,0,0,0,0,0,0,0,0
252,Pentasodium triphosphate,2,0,0,0,0,0,0,0,0,0,0,0
253,Ethyl ester of beta-apo-8'-carotenic acid (C 30),0,0,0,0,0,0,0,0,0,0,0,0
254,Ethyl gallate,0,0,0,0,0,0,0,0,0,0,0,0
255,Steviol glycosides,2,0,0,0,0,0,0,0,0,0,0,0
256,Cassia gum,2,0,0,0,0,0,0,0,0,0,0,0
257,Ammonium hydroxide,2,0,0,0,0,0,0,0,0,0,0,0
258,Yellow 2G,0,0,0,0,0,0,0,0,0,0,0,0
259,Calcium salts of fatty acids,2,0,0,0,0,0,0,0,0,0,0,0
260,Trisodium diphosphate,2,0,0,0,0,0,0,0,0,0,0,0
261,Calcium polyphosphate,2,0,0,0,0,0,0,0,0,0,0,0
262,Alpha-tocopherol,0,0,0,0,0,0,0,0,0,0,0,0
263,Acid-treated modified starch,2,0,0,0,0,0,0,0,0,0,0,0
264,Sucrose acetate isobutyrate,0,0,0,0,0,0,0,0,0,0,0,0
265,Carbamide,2,0,0,0,0,0,0,0,0,0,0,0
266,Distarch glycerine,0,0,0,0,0,0,0,0,0,0,0,0
267,Potassium citrates,2,0,0,0,0,0,0,0,0,0,0,0
268,Sodium hydrogen sulphate,2,0,0,0,0,0,0,0,0,0,0,0
269,Modified Starch,2,0,0,0,0,0,0,0,0,0,0,0
270,Indigotine,2,0,0,0,0,0,0,0,0,0,0,0
271,potassium iodate,0,0,0,0,0,0,0,0,0,0,0,0
272,ammonium fumarate,0,0,0,0,0,0,0,0,0,0,0,0
273,non-amidated pectines,2,0,0,0,0,0,0,0,0,0,0,0
274,Tetrapotassium diphosphate,2,0,0,0,0,0,0,0,0,0,0,0
275,Isopropyl citrates,2,0,0,0,0,0,0,0,0,0,0,0
276,Calcium sulphite,0,0,0,0,0,0,0,0,0,0,0,0
277,Nitrous oxide,2,0,0,0,0,0,0,0,0,0,0,0
278,Propionic acid,2,0,0,0,0,0,0,0,0,0,0,0
279,Sodium salts of fatty acids,2,0,0,0,0,0,0,0,0,0,0,0
280,Dimagnesium phosphate,2,0,0,0,0,0,0,0,0,0,0,0
281,Ethyl maltol,2,0,0,0,0,0,0,0,0,0,0,0
282,Sodium tartrates,2,0,0,0,0,0,0,0,0,0,0,0
283,Carnauba wax,2,0,0,0,0,0,0,0,0,0,0,0
284,L-cysteine hydrochloride monohydrate,2,0,0,0,0,0,0,0,0,0,0,0
285,chloropentafluoroethane,0,0,0,0,0,0,0,0,0,0,0,0
286,Konjac glucomannan,2,0,0,0,0,0,0,0,0,0,0,0
287,Alkaline sodium aluminium phosphate,2,0,0,0,0,0,0,0,0,0,0,0
288,Citric acid,0,0,0,0,0,0,0,0,0,0,0,0
289,Nisin,2,0,0,0,0,0,0,0,0,0,0,0
