id_original,nombre_referencia,total_docs,toxicidad_genetica,carcinogenesis,disrupcion_endocrina,toxicidad_metabolica,microbiota_gut_health,barrera_hematoencefalica,inmunotoxicidad_alergia,inflamacion_cronica,potencial_bioactivo,evidencia_clinica_humana,estudios_mecanisticos
0,Dicalcium citrate,51,0,1,0,0,0,0,1,0,2,1,17
1,Butylated hydroxytoluene,4452,314,984,144,27,9,32,59,81,3669,138,1078
2,Magnesium citrate,1424,6,136,26,34,4,7,4,15,128,375,139
3,Potassium ascorbate,462,2,83,25,12,1,2,11,9,26,110,37
4,lipase,177948,7249,19622,13190,7757,921,2158,1487,5681,20491,7191,47164
5,Potassium carbonates,746,11,104,33,24,2,3,2,17,40,141,61
6,Propylene glycol,8939,199,559,280,59,84,70,265,174,1306,513,2333
7,Aluminium ammonium sulphate,241,3,41,14,6,2,2,4,8,6,61,22
8,sodium alginate,10030,58,660,247,56,108,30,28,228,1458,223,2916
9,Alkannin,1337,20,265,52,36,1,12,12,31,117,215,149
10,Citrus Red 2,1083,8,181,45,17,1,7,21,22,31,183,66
11,Monoammonium glutamate,167,2,26,8,10,0,4,1,2,5,46,18
12,Starch aluminium octenyl succinate,47,2,10,3,1,0,1,0,1,1,12,4
13,Ammonium phosphate,1720,13,126,32,12,3,3,4,9,114,142,163
14,Lysozyme,31688,312,3245,1013,124,599,96,748,1833,3028,793,8656
15,Calcium hydrogen carbonate,12,0,0,0,0,0,0,0,0,0,0,0
16,Erythritol,3043,25,98,70,66,64,7,29,29,252,167,865
17,Calcium aluminium silicate,185,1,37,6,5,1,1,1,6,6,52,18
18,Erythorbin acid,200000,81552,200000,200000,89500,45132,58528,39509,124644,200000,200000,200000
19,Green s,9867,133,972,346,110,93,83,92,152,224,1348,806
20,Acetylated distarch adipate,62,1,8,4,3,0,4,0,0,2,9,9
21,Nitrogen oxide,2180,61,254,69,31,7,33,55,114,659,181,328
22,Violaxanthin,1235,11,15,6,4,3,1,3,2,583,3,351
23,Calcium guanylate,2822,13,281,448,23,2,138,19,45,773,87,1694
24,Maltol,821,26,91,34,9,7,35,4,36,137,67,172
25,Potassium nitrite,570,16,96,23,13,0,7,10,6,35,122,49
26,Sorbitan tristearate,58749,2168,25457,7258,1775,529,1779,1402,21918,18183,873,51821
27,Sodium benzoate,2444,87,219,53,45,14,85,76,47,385,286,331
28,Potassium phosphates,417,1,68,22,10,2,3,3,5,9,98,50
29,Red iron oxide,28,0,2,0,0,0,0,1,1,0,2,3
30,Sodium pectate,15,1,0,0,0,0,0,0,0,0,0,2
31,Chlorophylls and Chlorophyllins,1386,157,307,47,31,5,6,30,45,137,191,221
32,Alkaline modified starch,894,10,37,10,8,4,4,3,6,89,29,133
33,Calcium iodate,116,1,18,5,8,0,1,2,4,5,30,17
34,Sodium acetate,4830,51,271,160,62,69,31,23,91,362,167,857
35,Sorbitan monopalmitate,200000,181476,200000,200000,200000,40274,171246,158926,200000,200000,200000,200000
36,calcium peroxide,626,7,119,22,6,2,3,1,9,80,40,155
37,Calcium bisulphite,824,18,179,61,22,3,12,8,18,41,137,182
38,Calcium hydroxide,7623,56,264,29,4,2,13,39,103,548,1141,1326
39,Soybean hemicellulose,254,1,43,10,8,0,3,5,5,7,62,19
40,Magnesium Gluconate,248,2,34,5,0,1,3,4,2,6,72,24
41,Phosphoric acid,11626,81,357,129,25,16,26,75,38,546,648,1607
42,Beetroot red,706,7,116,33,20,0,5,11,10,29,132,59
43,flavin mononucleotide,5374,80,350,168,34,17,45,21,38,403,338,1245
44,Oxygen,200000,32686,111918,32487,19260,3395,16905,8271,46366,170479,80144,200000
45,Quillaia extract,104,2,15,6,5,0,1,1,5,1,31,12
46,Dipotassium tartrate,7,0,0,0,0,0,0,0,0,0,2,0
47,carotene,22563,746,3565,786,649,104,116,161,623,15460,3743,4587
48,Tocopherol-rich extract,393,6,71,20,12,0,4,5,6,16,94,35
49,Gardenia Blue,810,6,138,36,16,4,8,11,16,21,152,40
50,Potassium malate,365,1,76,15,12,0,5,6,7,10,91,21
51,Sodium fumarate,387,7,77,13,9,0,5,4,10,8,74,41
52,Brilliant black bn,888,5,178,44,14,0,7,16,15,17,177,71
53,Rubixanthin,635,11,37,16,8,3,2,7,9,83,25,99
54,Sodiumglycinate,1,0,0,0,0,0,0,0,0,0,0,0
55,Magnesium silicates,891,13,84,25,9,0,4,4,12,52,73,102
56,Alpha-Amylase,18071,232,611,1305,725,253,70,376,406,4673,792,6216
57,Hydrogenated poly-1-decene,107,2,20,7,4,1,4,1,2,4,37,12
58,Calcium stearoyl-2-lactylate,232,0,43,14,6,1,1,1,2,8,62,18
59,Sulphite ammonia caramel,18,2,4,1,0,0,0,1,0,1,2,1
60,Carotenoids,36094,931,3610,1052,889,225,266,186,927,28578,3090,7920
61,Magnesium hydroxide carbonate,814,1,16,20,4,1,3,1,1,41,147,88
62,Calcium inosinate,778,6,77,70,6,1,13,6,15,43,58,290
63,Ammonium acetate,6755,97,403,162,30,13,55,21,35,451,245,594
64,Polyoxyethylene sorbitan monopalmitate,267,2,52,11,4,0,3,3,2,4,78,19
65,Lanolin,891,6,48,15,5,2,0,199,10,93,147,71
66,Polyvinylpyrrolidone-vinyl acetate copolymer,89,2,16,2,1,0,1,0,3,11,18,13
67,Desconocido,593,2,196,17,7,0,1,11,8,13,121,31
68,synthetic magnesium silicates,112,9,28,2,0,0,1,0,3,6,3,20
69,Ferrous lactate,242,1,47,9,5,1,3,5,4,12,53,25
70,Sodium stearoyl fumarate,236,1,38,11,7,1,4,2,5,5,60,16
71,sodium thiosulfate,2468,51,427,124,48,3,42,126,49,1226,322,266
72,Pectin,14358,140,625,274,192,688,26,125,317,2339,359,4211
73,Bleached starch,153,3,4,3,2,1,0,1,2,17,12,17
74,Ammonium phosphatides,256,3,47,16,3,0,5,2,5,5,77,15
75,Peonidin,849,21,56,24,19,9,5,0,32,334,22,270
76,Bone phosphate,242,3,45,11,3,1,1,3,7,7,58,37
77,Paprika extract,25,1,1,1,1,1,0,1,0,8,3,5
78,Sodium adipate,365,4,72,13,8,0,2,10,6,12,95,44
79,Ammonium sulphate,3380,19,228,147,17,5,5,56,39,131,70,704
80,Tara gum,403,1,70,12,12,3,1,4,7,21,86,37
81,Anoxomer,427,4,85,18,10,1,3,2,9,13,104,37
82,Sodium ascorbate,1658,78,317,65,12,3,12,10,27,792,177,362
83,Disodium citrate,17,0,0,0,0,0,0,0,0,1,1,3
84,Riboflavin,18804,321,1234,515,398,192,132,117,265,2342,2379,2887
